Ticker,Industry,Sub-Industry,Security Type,Within Range,PE Backed,VC Backed,Sh Out,Mkt Cap,EV,3m ADV ,3m ADV $ ,6m ADV ,6m ADV $,Beta,SI,SI Days,Net Leverage,Net Leverage %,Days until Earnings, EV/Sales 2019 , EV/Sales 2020 , EV/Sales 2021 , EV/Sales 2022 ,Revenue Growth 19-20 ,Revenue Growth 20-21 ,Revenue Growth 21-22 , EV/EBITDA 2019 , EV/EBITDA 2020 , EV/EBITDA 2021 , EV/EBITDA 2022 ,EBITDA Growth 19-20 ,EBITDA Growth 20-21 ,EBITDA Growth 21-22 ,EBITDA MARGIN % 2019,EBITDA MARGIN % 2020,EBITDA MARGIN % 2021,EBITDA MARGIN % 2022, P/E 2019 , P/E 2020 , P/E 2021 , P/E 2022 ,Deal Size,Market Cap At IPO,IPO to First Open,IPO to First Day,IPO to 1st Week,IPO to 1st Month,performance
SGRY,Health Care,Health Care Facilities,Common,Below,Yes,No, 48.50 , 541.05 ," 4,767.85 ", 1.03 , 10.99 ,0.71, 7.56 , 1.69 , 0.14 , 1.30 , 10.92 , 0.59 , 86.00 , 2.60 , 2.73 , 2.28 ,  NA  , (0.05), 0.20 , NA , 18.39 , 20.41 , 15.42 ,  NA  , (0.10), 0.32 , NA , 0.14 , 0.13 , 0.15 , NA , (6.28), (7.69), (36.31),  NA  , 301.20 , 914.98 , (0.08), (0.05), (0.02), (0.12),-0.15431895350393865
NVCR,Health Care,Health Care Equipment,Common,Below,Yes,Yes, 108.10 ," 6,221.77 "," 6,063.88 ", 1.00 , 62.04 ,0.94, 58.37 , 0.90 , 0.05 , 7.20 , (17.17), (0.03), 72.00 , 17.23 , 13.93 , 11.24 , 9.87 , 0.24 , 0.24 , 0.14 , 658.32 , 126.59 , 58.23 , 41.32 , 4.20 , 1.17 , 0.41 , 0.03 , 0.11 , 0.19 , 0.24 , (884.93), 351.96 , 116.00 , 72.03 , 173.30 ," 1,827.17 ", (0.08), (0.17), (0.05), 0.08 ,0.05980612166828814
ACRS,Health Care,Pharmaceuticals,Common,Below,Yes,Yes, 41.60 , 53.17 , (17.64), 0.41 , 0.52 ,0.53, 0.67 , 0.67 , 0.06 , 10.40 , 0.84 ,, 86.00 , (6.11), (5.31), (4.86), (4.28), 0.15 , 0.09 , 0.14 , 0.31 , 0.46 ,  NA  ,  NA  , (0.33), NA , NA , (19.90), (11.61), NA , NA , (0.55), (0.89), (0.92), (1.20), 63.30 , 221.73 , 0.09 , 0.01 , 0.31 , 0.33 ,0.014468523335361194
PSTG,Information Technology,"Technology Hardware, Storage &",Class A,Mid-point,No,Yes, 259.20 ," 3,771.34 "," 3,069.43 ", 4.04 , 57.71 ,3.77, 53.88 , 1.32 , 0.06 , 5.00 , (5.23), (0.23), 15.00 , 1.89 , 1.84 , 1.52 , 1.29 , 0.03 , 0.21 , 0.18 , 22.87 , 39.31 , 23.89 , 17.29 , (0.42), 0.65 , 0.38 , 0.08 , 0.05 , 0.06 , 0.08 , 62.13 , (571.60), 54.47 , 74.33 , 488.80 , 425.00 , (0.02), (0.06), 0.16 , 0.04 ,0.06598838316238688
ABTX,Financials,Regional Banks,Common,Below,No,No, 20.70 , 440.70 , 289.24 , 0.11 , 2.33 ,0.12, 2.65 , 1.22 , 0.05 , 11.40 ,    ,, 75.00 ,  NA  ,  NA  ,  NA  ,  NA  , 0.10 , (0.04), NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 8.57 , 13.64 , 15.71 ,  NA  , 62.80 , 260.88 , 0.07 , 0.10 , 0.06 , 0.13 ,-0.03480381836310953
CTMX,Health Care,Biotechnology,Common,Below,No,Yes, 47.00 , 684.26 , 415.79 , 0.55 , 8.14 ,0.49, 7.33 , 1.50 , 0.02 , 2.20 , 3.31 , (0.58), 86.00 , 8.06 , 3.76 , 6.31 , 4.51 , 1.14 , (0.40), 0.40 , (5.72), (2.99), (2.38), (2.57), 0.91 , 0.26 , (0.08), (1.41), (1.26), (2.66), (1.75), (6.59), (11.97), (5.57), (5.62), 92.00 , 431.10 , 0.33 , 0.08 , 0.10 , (0.05),-0.03044211349360026
PMTS,Information Technology,"Technology Hardware, Storage &",Common,Lower End,Yes,No, 11.30 , 8.98 , 311.53 , 0.02 , 0.02 ,0.05, 0.04 , 0.24 , 0.06 , 20.80 ,    , 1.02 , 86.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 172.50 , 564.76 , 0.10 , 0.22 , 0.25 , 0.19 ,-0.09065145852311518
IOTS,Information Technology,Semiconductors,Common,Lower End,Yes,Yes, 30.30 , 373.95 , 415.24 , 1.21 , 14.64 ,0.8, 9.69 , 0.56 , 0.18 , 9.60 , 6.38 , 0.10 , 8.00 , 3.51 , 2.77 , 2.31 ,  NA  , 0.27 , 0.20 , NA , 64.20 ,  NA  ,  NA  ,  NA  , NA , NA , NA , 0.06 , NA , NA , NA , (14.32), 63.87 , 21.67 ,  NA  , 25.00 , 73.91 , 0.12 , 0.18 , 0.12 , 0.40 ,0.10570799754163884
MYOK,Health Care,Pharmaceuticals,Common,Below,No,Yes, 46.60 ," 6,114.67 "," 5,699.31 ", 0.63 , 71.51 ,0.5, 56.43 , 0.97 , 0.10 , 10.50 , 1.42 , (0.07), 86.00 ,  NA  ,  NA  , 150.40 , 22.37 , NA , NA , 5.72 , (19.92), (19.65), (19.15), (29.23), 0.01 , 0.03 , (0.35), NA , NA , (7.85), (0.77), (18.36), (18.79), (17.38), (27.52), 62.50 , 270.59 , 0.11 , 0.05 , (0.01), 0.24 ,-0.24824144342747426
EQBK,Financials,Regional Banks,Class A,Mid-point,Yes,No, 15.30 , 204.73 , 500.69 , 0.06 , 0.82 ,0.05, 0.70 , 1.07 , 0.01 , 3.70 ,    ,, 70.00 ,  NA  ,  NA  ,  NA  ,  NA  , 0.04 , (0.02), NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 8.14 , 9.78 , 7.99 ,  NA  , 50.20 ,  -  , 0.08 , 0.06 , 0.07 , 0.02 ,-0.08244828821989525
VYGR,Health Care,Biotechnology,Common,Below,Yes,Yes, 37.00 , 438.66 , 191.30 , 0.39 , 4.58 ,0.39, 4.55 , 1.17 , 0.11 , 13.20 , 4.27 , (1.32), 89.00 , 1.80 , 2.55 , 2.37 , 1.66 , (0.30), 0.08 , 0.43 , (3.24), (2.12), (2.22), (2.09), 0.53 , (0.04), 0.06 , (0.56), (1.20), (1.07), (0.80), (9.71), (4.31), (4.24), (5.47), 80.50 , 364.49 , 0.08 , 0.27 , 0.43 , 0.69 ,-0.11520682865177978
WVE,Health Care,Pharmaceuticals,Common,Mid-point,Yes,No, 34.50 , 351.54 , 236.94 , 0.63 , 6.33 ,0.8, 8.03 , 0.77 , 0.24 , 7.40 , 0.58 , (0.42), 77.00 , 16.91 , 6.41 , 5.20 , 10.80 , 1.64 , 0.24 , (0.52), (1.38), (1.69), (1.32), (1.24), (0.18), 0.28 , 0.06 , (12.26), (3.80), (3.94), (8.71), (1.76), (2.71), (3.99), (3.70), 111.90 , 344.82 , 0.07 , -   , (0.01), (0.14),-0.053905290335175216
AXSM,Health Care,Pharmaceuticals,Common,Below,No,No, 37.10 ," 3,280.66 "," 3,080.63 ", 1.01 , 89.16 ,1.17, 103.19 , 0.96 , 0.12 , 2.90 ,    , (0.06), 86.00 ,  NA  , 352.91 , 69.23 , 12.71 , NA , 4.10 , 4.45 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (44.02), (33.68), (31.22), (298.94), 51.00 , 159.48 , -   , (0.03), (0.02), 0.01 ,0.04779561900776974
MTCH,Communication Services,Interactive Media & Services,Common,Lower End,No,No, 292.90 ," 22,006.89 "," 23,191.35 ", 2.73 , 211.50 ,2.39, 185.31 , 0.89 , 0.70 , 22.20 , 1.52 , 0.05 , 85.00 , 11.37 , 10.40 , 8.92 , 7.86 , 0.09 , 0.17 , 0.13 , 29.91 , 28.77 , 23.02 , 19.05 , 0.04 , 0.25 , 0.21 , 0.38 , 0.36 , 0.39 , 0.41 , 42.80 , 37.27 , 32.73 , 26.15 , 460.00 ,  -  , 0.13 , 0.23 , 0.20 , 0.19 ,-0.012771226807390179
MIME,Information Technology,Application Software,Common,Lower End,No,Yes, 64.40 ," 2,508.84 "," 2,564.80 ", 1.04 , 41.68 ,0.76, 30.47 , 0.87 , 0.04 , 2.90 , 0.80 , 0.02 , 84.00 , 6.33 , 5.49 , 4.74 , 3.92 , 0.15 , 0.16 , 0.21 , 36.72 , 27.28 , 23.94 , 17.90 , 0.35 , 0.14 , 0.34 , 0.17 , 0.20 , 0.20 , 0.22 , 95.13 , 64.65 , 53.13 , 37.20 , 77.50 , 540.03 , 0.10 , 0.01 , 0.02 , (0.01),-0.3260032127368002
SQ,Information Technology,Data Processing & Outsourced S,Class A,Below,Yes,Yes, 434.90 ," 32,859.08 "," 32,396.89 ", 16.50 ," 1,233.97 ",11.76, 879.74 , 1.47 , 0.10 , 3.00 , (1.11), (0.01), 84.00 , 14.44 , 8.67 , 6.92 , 5.75 , 0.67 , 0.25 , 0.20 , 78.02 , 159.44 , 61.44 , 38.45 , (0.51), 1.60 , 0.60 , 0.19 , 0.05 , 0.11 , 0.15 , 93.49 , 257.01 , 79.90 , 52.74 , 279.50 ,  -  , 0.24 , 0.45 , 0.32 , 0.37 ,-0.17407154269619385
DLTH,Consumer Discretionary,Internet & Direct Marketing Re,Class B,Below,No,No, 32.30 , 124.99 , 339.35 , 0.36 , 1.36 ,0.42, 1.59 , 1.06 , 0.30 , 13.60 , 4.35 , 0.64 , 32.00 , 0.55 , 0.61 , 0.54 ,  NA  , (0.09), 0.13 , NA , 6.81 , 12.40 , 8.99 ,  NA  , (0.45), 0.38 , NA , 0.08 , 0.05 , 0.06 , NA , 6.96 , 18.04 , 10.48 ,  NA  , 92.00 ,  -  , 0.08 , 0.14 , 0.18 , 0.22 ,-0.13353044198243513
TEAM,Information Technology,Application Software,Class A,Above,No,Yes, 245.50 ," 43,884.36 "," 43,024.45 ", 2.01 , 356.64 ,1.73, 308.36 , 0.57 , 0.06 , 5.10 , (2.20), (0.02), 72.00 , 30.34 , 24.60 , 20.11 , 15.40 , 0.23 , 0.22 , 0.31 , 109.93 , 101.41 , 82.11 , 55.56 , 0.08 , 0.24 , 0.48 , 0.28 , 0.24 , 0.25 , 0.28 , 167.72 , 166.77 , 124.67 , 91.97 , 531.30 ,  -  , 0.32 , 0.32 , 0.33 , 0.29 ,-0.02019762947392933
YRD,Financials,Consumer Finance,ADR,Mid-point,No,No, 186.30 , 342.33 , (76.39), 0.25 , 0.91 ,0.28, 1.03 , 0.92 ,, 7.10 , (0.28),, 2.00 , (0.01), (0.01), (0.01),  NA  , (0.38), 0.17 , NA , (0.05), (0.21), (0.10),  NA  , (0.76), 1.10 , NA , 0.17 , 0.07 , 0.12 , NA , 0.30 , 0.67 , 0.43 ,  NA  , 75.00 , 75.00 , -   , (0.09), (0.05), (0.25),0.14346698247448542
BGNE,Health Care,Biotechnology,ADR,Higher End,Yes,No,  #N/A Field Not Applicable  ," 12,522.16 "," 11,832.91 ", 0.35 , 56.57 ,0.35, 55.73 , 0.62 ,, 15.70 , 0.75 , (0.07), 86.00 , 22.09 , 30.02 , 13.53 , 7.40 , (0.26), 1.22 , 0.83 , (10.07), (7.65), (9.78), (13.25), 0.32 , (0.22), (0.26), (2.20), (3.93), (1.38), (0.56), (11.69), (11.84), (13.80), (25.33), 182.20 , 158.40 , 0.21 , 0.18 , 0.12 , 0.34 ,-0.04876889451720357
EDIT,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 54.60 ," 1,447.51 "," 1,019.45 ", 0.99 , 26.09 ,0.97, 25.46 , 1.14 , 0.15 , 13.50 , 7.34 , (0.40), 85.00 , 51.61 , 43.87 , 32.10 , 23.10 , 0.18 , 0.37 , 0.39 , (18.16), (6.33), (5.82), (4.86), 1.87 , 0.09 , 0.20 , (2.84), (6.93), (5.51), (4.75), (9.82), (8.36), (8.31), (8.45), 108.60 , 585.35 , 0.13 , 0.14 , (0.18), 1.34 ,-0.004716448315917886
PTI,Health Care,Biotechnology,Common,Below,No,Yes, 51.40 , 91.26 , 34.99 , 1.07 , 1.88 ,3.47, 6.08 , 0.67 , 0.06 , 3.50 ,    , (1.61), 9.00 , 7.00 , 12.72 , 11.57 , 2.93 , (0.45), 0.10 , 2.95 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (1.51), (1.67), (1.70), (2.08), 50.00 , 152.89 , -   , (0.17), (0.29), 0.12 ,0.3918193789027185
CRVS,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 29.40 , 98.67 , 23.88 , 0.16 , 0.56 ,0.18, 0.65 , 0.86 , 0.08 , 19.70 ,    , (2.27), 79.00 ,  NA  ,  NA  ,  NA  , 8.24 , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (2.22), (3.07), (2.40), (2.25), 70.50 , 306.10 , -   , (0.05), (0.02), 0.01 ,-0.012102237782913859
AGLE,Health Care,Biotechnology,Common,Below,Yes,No, 33.10 , 317.51 , 250.68 , 0.15 , 1.03 ,0.1, 0.73 , 1.60 , 0.01 , 0.80 , 0.81 , (0.24), 85.00 ,  NA  ,  NA  ,  NA  , 8.45 , NA , NA , NA , (3.30), (3.07), (2.51), (2.14), 0.07 , 0.23 , 0.17 , NA , NA , NA , (3.95), (2.91), (3.91), (3.82), (5.53), 54.80 , 134.12 , -   , (0.02), (0.02), (0.13),0.19176013541122328
ARA,Health Care,Health Care Services,Common,Mid-point,Yes,No, 32.50 , 208.43 ," 1,197.34 ", 0.11 , 0.67 ,0.11, 0.66 , 0.83 , 0.09 , 17.40 , 5.48 , 0.58 , 114.00 , 1.46 , 1.42 , 1.35 , 1.23 , 0.03 , 0.05 , 0.09 , 9.42 , 10.95 , 10.32 , 11.78 , (0.14), 0.06 , (0.12), 0.16 , 0.13 , 0.13 , 0.11 , 23.76 , (72.68), 123.55 ,  NA  , 189.80 , 653.84 , 0.21 , 0.21 , 0.25 , 0.26 ,0.11243713996778304
SCWX,Information Technology,Systems Software,Class A,Below,Yes,No, 80.60 , 932.06 , 774.89 , 0.15 , 1.70 ,0.16, 1.84 , 1.31 , 0.18 , 7.50 , (14.11), (0.20), 22.00 , 1.41 , 1.40 , 1.33 , 1.22 , 0.01 , 0.05 , 0.09 , 69.55 , 92.90 , 41.70 , 27.27 , (0.25), 1.23 , 0.53 , 0.02 , 0.02 , 0.03 , 0.05 , (53.50), (93.38), (420.37), 130.96 , 112.00 ,  -  , (0.01), -   , (0.05), (0.01),0.0774875095902059
RRR,Consumer Discretionary,Casinos & Gaming,Class A,Mid-point,No,No, 116.80 ," 1,051.25 "," 4,251.90 ", 1.86 , 16.67 ,1.18, 10.61 , 1.90 , 0.06 , 2.30 , 5.73 , 0.69 , 6.00 , 2.29 , 3.82 , 2.70 , 2.37 , (0.40), 0.42 , 0.14 , 8.35 , 25.45 , 10.95 , 9.33 , (0.67), 1.32 , 0.17 , 0.27 , 0.15 , 0.25 , 0.25 , 22.44 , (6.92), 94.32 , 9.85 , 579.30 ,  -  , (0.05), (0.04), (0.04), 0.03 ,-0.0016556107277888588
YIN,Financials,Investment Banking & Brokerage,ADR,Mid-point,No,No, 72.80 , 423.28 , 147.31 , 0.01 , 0.08 ,0.02, 0.14 , (0.02),, 5.10 ,    , (2.02), 19.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 101.30 , 101.25 , 0.02 , -   , -   , (0.08),0.0032817813460013228
NTLA,Health Care,Biotechnology,Common,Higher End,Yes,Yes, 50.50 , 837.76 , 571.66 , 0.78 , 12.72 ,0.72, 11.76 , 1.31 , 0.26 , 17.10 , 2.53 , (0.43), 79.00 , 14.20 , 16.89 , 21.04 , 19.18 , (0.16), (0.20), 0.10 , (5.83), (4.13), (3.33), (3.00), 0.41 , 0.24 , 0.11 , (2.44), (4.09), (6.33), (6.40), (7.73), (5.84), (5.49), (5.42), 124.20 , 647.93 , 0.22 , 0.23 , 0.30 , 0.63 ,0.0925575207747138
SBPH,Health Care,Biotechnology,Common,Lower End,No,No, 16.50 , 26.50 , (5.66), 0.17 , 0.27 ,0.26, 0.40 , 0.45 , 0.00 , 0.20 ,    , (25.15), 79.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (1.06), (0.99), (1.74), (1.17), 11.00 , 85.09 , (0.06), (0.08), (0.11), (0.08),-0.07597418418461888
TPB,Consumer Staples,Tobacco,Common,Below,No,No, 20.10 , 436.30 , 638.52 , 0.17 , 3.77 ,0.16, 3.47 , 0.95 , 0.11 , 7.30 , 3.00 , 0.32 , 79.00 , 1.74 , 1.82 , 1.73 ,  NA  , (0.04), 0.05 , NA , 9.37 , 9.02 , 8.55 ,  NA  , 0.04 , 0.05 , NA , 0.19 , 0.20 , 0.20 , NA , 11.99 , 12.22 , 11.18 ,  NA  , 54.00 , 159.56 , -   , 0.01 , 0.18 , (0.17),-0.01704112789301515
SITE,Industrials,Trading Companies & Distributo,Common,Mid-point,Yes,No, 41.80 ," 3,580.55 "," 4,344.25 ", 0.52 , 44.34 ,0.4, 34.14 , 1.30 , 0.14 , 13.20 , 3.80 , 0.17 , 79.00 , 1.90 , 1.93 , 1.79 , 1.67 , (0.02), 0.08 , 0.07 , 22.25 , 25.10 , 20.91 , 17.90 , (0.11), 0.20 , 0.17 , 0.09 , 0.08 , 0.09 , 0.09 , 44.59 , 59.71 , 45.70 , 37.01 , 241.50 , 830.39 , 0.22 , 0.27 , 0.36 , 0.34 ,-0.07995285593995828
ACIA,Information Technology,Communications Equipment,Common,Higher End,Yes,Yes, 43.00 ," 2,862.42 "," 2,411.00 ", 0.68 , 46.45 ,0.54, 37.09 , 0.23 , 0.07 , 6.80 , (5.45), (0.19), 85.00 , 5.16 , 4.48 , 3.85 , 3.36 , 0.15 , 0.16 , 0.15 , 28.95 , 22.05 , 21.20 ,  NA  , 0.31 , 0.04 , NA , 0.18 , 0.20 , 0.18 , NA , 36.83 , 31.25 , 29.98 , 21.54 , 119.00 , 821.71 , 0.26 , 0.35 , 0.28 , 0.58 ,0.11438863844172742
PLSE,Health Care,Health Care Equipment,Common,Lower End,No,No, 22.60 , 244.38 , 226.35 , 0.17 , 1.94 ,0.11, 1.29 , 1.03 , 0.25 , 23.70 ,    , (0.08), 86.00 ,  NA  ,  NA  , 30.76 , 4.43 , NA , NA , 5.94 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (5.62), (6.13), (7.41), (22.09), 23.00 , 53.26 , 0.03 , 0.04 , 0.06 , 0.09 ,-0.563091240722824
SUPV,Financials,Diversified Banks,ADR,Lower End,No,No,  #N/A Field Not Applicable  , 179.04 , 179.21 , 0.72 , 1.41 ,0.9, 1.77 , 1.40 ,, 1.30 ,    ,, 15.00 ,  NA  ,  NA  ,  NA  ,  NA  , 0.23 , 0.19 , 0.03 ,  NA  ,  NA  ,  NA  ,  NA  , NA , 0.02 , 0.05 , NA , 0.23 , 0.19 , 0.20 , 0.05 , 0.04 , 0.03 , 0.03 , 301.60 ,  -  , 0.05 , 0.05 , 0.04 , 0.11 ,-0.09431682776449556
MRUS,Health Care,Biotechnology,Common,Below,Yes,Yes, 26.70 , 454.41 , 217.89 , 0.10 , 1.58 ,0.09, 1.41 , 1.34 , 0.01 , 0.90 , 5.41 , (1.09), 16.00 , 7.60 , 7.07 , 6.01 , 3.86 , 0.08 , 0.18 , 0.56 , (4.98),  NA  ,  NA  ,  NA  , NA , NA , NA , (1.53), NA , NA , NA , (7.71), (6.99), (6.49), (6.55), 61.40 , 160.47 , (0.03), 0.00 , (0.17), (0.19),-0.1381122245183094
EHT,,,Common,Lower End,No,No,  #N/A Field Not Applicable  , 198.29 ,#VALUE!, 0.08 , 0.76 ,0.07, 0.63 ,    , 0.00 , 0.30 ,    ,, NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 214.50 ,  -  , -   , 0.00 , 0.01 , 0.00 ,0.002899809463170921
GMS,Industrials,Trading Companies & Distributo,Common,Lower End,Yes,No, 42.90 , 714.80 ," 1,808.65 ", 0.47 , 8.01 ,0.44, 7.45 , 1.47 , 0.02 , 2.60 , 3.54 , 0.59 , 44.00 , 0.58 , 0.63 , 0.58 , 0.59 , (0.09), 0.10 , (0.02), 6.05 , 6.43 , 6.00 ,  NA  , (0.06), 0.07 , NA , 0.10 , 0.10 , 0.10 , NA , 5.53 , 8.18 , 5.59 , 5.99 , 169.10 , 859.80 , 0.07 , 0.04 , 0.09 , 0.03 ,-0.07319886623194903
RETA,Health Care,Pharmaceuticals,Class A,Below,No,Yes, 33.20 ," 5,332.88 "," 4,833.71 ", 0.36 , 58.00 ,0.42, 66.92 , 1.21 , 0.14 , 13.80 ,    , (0.10), 86.00 , 183.78 , 906.50 , 87.97 , 14.50 , (0.80), 9.31 , 5.07 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (16.82), (19.22), (16.04), (21.45), 69.60 ,  -  , 0.01 , 0.19 , 0.40 , 0.83 ,-0.1001190419759148
USFD,Consumer Staples,Food Distributors,Common,Mid-point,Yes,No, 219.00 ," 3,667.70 "," 8,706.70 ", 4.47 , 74.44 ,2.84, 47.21 , 1.48 , 0.03 , 1.30 , 4.22 , 0.58 , 85.00 , 0.33 , 0.38 , 0.32 , 0.32 , (0.12), 0.19 , (0.00), 7.26 , 11.11 , 7.75 , 7.75 , (0.35), 0.43 , -   , 0.05 , 0.03 , 0.04 , 0.04 , 7.00 , 32.02 , 10.12 , 10.86 ," 1,175.60 "," 5,066.80 ", 0.05 , 0.08 , 0.10 , 0.02 ,-0.016660567985604783
CLSD,Health Care,Pharmaceuticals,Common,Lower End,Yes,Yes, 44.80 , 97.36 , 81.18 , 0.50 , 1.09 ,0.9, 1.94 , 1.19 , 0.05 , 3.80 , 0.51 , (0.20), 86.00 , 37.36 , 10.04 , 7.21 , 19.02 , 2.72 , 0.39 , (0.62), (2.58), (3.11), (2.51), (2.35), (0.17), 0.24 , 0.07 , (14.50), (3.23), (2.88), (8.09), (2.68), (4.59), (4.95), (4.34), 50.40 ,  -  , 0.14 , 0.04 , (0.01), (0.03),0.0910145426397917
NH,Health Care,Health Care Technology,Common,Mid-point,Yes,No, 110.60 , 233.41 , 447.51 , 0.31 , 0.65 ,0.5, 1.05 , 1.04 , 0.01 , 1.50 ,    , 0.53 , 86.00 , 4.20 , 5.21 , 4.76 , 4.34 , (0.19), 0.10 , 0.10 ,  NA  , 44.77 , 25.18 ,  NA  , NA , 0.78 , NA , NA , 0.12 , 0.19 , NA , (8.44), (8.98), (10.82), (23.44), 96.60 ," 1,695.86 ", 0.15 , 0.33 , 0.11 , (0.08),0.5472703086623536
ATKR,Industrials,Electrical Components & Equipm,Common,Below,Yes,No, 48.10 ," 1,060.78 "," 1,782.68 ", 0.52 , 11.61 ,0.46, 10.42 , 1.17 , 0.01 , 1.60 , 2.17 , 0.41 , 86.00 , 0.93 , 1.07 , 0.98 ,  NA  , (0.13), 0.08 , NA , 5.36 , 6.44 , 5.61 ,  NA  , (0.17), 0.15 , NA , 0.17 , 0.17 , 0.18 , NA , 6.21 , 8.19 , 6.42 ,  NA  , 192.00 , 999.33 , (0.02), -   , -   , -   ,0.014513546120584088
COE,Consumer Discretionary,Education Services,ADR,Mid-point,No,Yes, 20.70 , 475.64 , 348.57 , 0.08 , 1.87 ,0.06, 1.25 , 0.64 ,, 1.70 ,    , (0.36), 33.00 , 0.23 , 0.19 , 0.16 ,  NA  , 0.22 , 0.17 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (4.71), 62.42 , 5.25 ,  NA  , 52.40 ,  -  , 0.03 , (0.00), 0.07 , 0.04 ,-0.15674292077077845
SELB,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 94.70 , 288.72 , 218.10 , 0.79 , 2.60 ,0.68, 2.26 , 1.48 , 0.10 , 12.00 ,    , (0.29), 86.00 , 36.67 , 293.93 , 293.93 , 13.29 , (0.88), -   , 21.11 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (2.70), (4.04), (4.17), (5.05), 74.10 , 254.65 , 0.07 , -   , (0.00), (0.02),0.016297544231771877
TWLO,Information Technology,Internet Services & Infrastruc,Class A,Above,No,Yes, 139.20 ," 26,962.99 "," 25,750.52 ", 4.10 , 790.02 ,3.64, 700.48 , 0.84 , 0.13 , 8.00 , (11.16), (0.05), 79.00 , 22.71 , 17.19 , 13.64 , 10.81 , 0.32 , 0.26 , 0.26 , 237.12 , 582.27 , 198.90 , 118.20 , (0.59), 1.93 , 0.68 , 0.10 , 0.03 , 0.07 , 0.09 ," 1,203.25 "," (1,925.20)"," 1,018.62 ", 487.39 , 172.50 ,  -  , 0.60 , 0.92 , 1.43 , 1.72 ,0.05987721094383769
SYRS,Health Care,Biotechnology,Common,Below,Yes,Yes, 43.90 , 404.84 , 339.34 , 0.29 , 2.61 ,0.36, 3.20 , 0.97 , 0.07 , 7.90 ,    , (0.19), 79.00 , 171.21 , 41.98 , 66.80 , 23.94 , 3.08 , (0.37), 1.79 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (4.71), (5.47), (5.29), (5.60), 57.50 , 292.00 , 0.20 , 0.45 , 0.38 , (0.07),-0.2307692322202991
TPIC,Industrials,Heavy Electrical Equipment,Common,Lower End,Yes,Yes, 35.20 , 636.50 , 838.12 , 0.63 , 11.43 ,0.56, 10.14 , 1.37 , 0.08 , 4.70 , 2.46 , 0.22 , 86.00 , 0.66 , 0.61 , 0.54 , 0.49 , 0.07 , 0.14 , 0.10 , 11.16 , 10.92 , 6.08 , 5.26 , 0.02 , 0.80 , 0.16 , 0.06 , 0.06 , 0.09 , 0.09 , 11.41 , 43.29 , 11.26 , 10.62 , 79.10 , 371.11 , 0.04 , 0.23 , 0.33 , 0.72 ,-0.04534414797043351
KDMN,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 158.00 , 735.32 , 610.55 , 2.06 , 9.47 ,2.09, 9.61 , 1.07 , 0.12 , 18.80 ,    , (0.25), 84.00 , 126.19 , 55.06 , 4.06 , 1.90 , 1.29 , 12.56 , 1.14 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (9.57), (7.74), 27.68 , 4.53 , 75.00 , 538.44 , (0.04), (0.19), (0.18), (0.16),0.3132377105481299
KNSL,Financials,Property & Casualty Insurance,Common,Higher End,Yes,No, 22.70 ," 2,918.80 "," 2,836.03 ", 0.20 , 25.65 ,0.23, 30.28 , 1.12 , 0.05 , 6.20 ,    , (0.03), 85.00 , 9.15 , 7.23 , 6.06 ,  NA  , 0.27 , 0.19 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 54.42 , 45.48 , 41.36 ,  NA  , 105.60 , 335.50 , 0.13 , 0.15 , 0.15 , 0.28 ,-0.08436676405362586
